Kelas,Hari,Jam Kuliah,Waktu,Kode MK,Mata Kuliah,Pengampu,Ruang,Kode dosen
IL 2A,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Selasa,11,16.00 - 16.45,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2A,Selasa,12,16.45 - 17.30,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2A,Selasa,13,17.30 - 18.15,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2A,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Selasa,14,18.45 - 19.30,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2A,Rabu,6,11.05 - 11.50,433-231-310,Elektronika Daya I,"Byan Bagas Pradana S.T., M.T.",MulMed,BB
IL 2A,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Rabu,7,12.30 - 13.15,433-231-310,Elektronika Daya I,"Byan Bagas Pradana S.T., M.T.",MulMed,BB
IL 2A,Rabu,8,13.15 - 14.00,433-231-310,Elektronika Daya I,"Byan Bagas Pradana S.T., M.T.",MulMed,BB
IL 2A,Rabu,9,14.00 - 14.45,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",MulMed,MM
IL 2A,Rabu,10,14.45 - 15.30,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",MulMed,MM
IL 2A,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Rabu,11,16.00 - 16.45,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",MulMed,MM
IL 2A,Rabu,12,16.45 - 17.30,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",MulMed,MM
IL 2A,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Kamis,4,09.35 - 10.20,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2A,Kamis,5,10.20 - 11.05,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2A,Kamis,6,11.05 - 11.50,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2A,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2A,Kamis,7,12.30 - 13.15,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
